	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-	b	d̪	ɖ		ɡ	4/5	0.9046799251493957
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+	ɓ		ᶑ	ʄ	ɠ	4/5	0.9845229097024836
periodicGlottalSource:+;spreadGlottis:+;loweredLarynxImplosive:-	b̤	d̪̤	ɖ̤		ɡ̤	4/5	0.9694878704657929
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-	p	t̪	ʈ		k	4/5	0.9506963518579883
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-	pʰ	t̪ʰ	ʈʰ		kʰ	4/5	0.9354047332204297
	5/5	4/5	5/5	1/5	5/5
	1.0	0.9964748608570623	1.0	0.052341683928451586	1.0
