	ts	-		1/3	0.5589723322479676
b	d		ɡ	3/4	0.9999270425086774
v		-		1/3	0.18957576122640887
pʰ	tʰ		kʰ	3/4	0.9999474427027878
mb	nd		ŋɡ	3/4	0.940364294321496
f	s	ns		3/4	0.8727204067066637
5/6	5/6	1/4	3/6
0.5797103517301583	0.9235786335147727	0.03163586438152604	0.3285124569401761
