	labial:+;labiodental:-;coronal:-;strident:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;distributed:-	labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive		ts	-		1/3	0.5589723322479676
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-;category:affricate|plosive	b	d		ɡ	3/4	0.9999270425086774
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	v		-		1/3	0.18957576122640887
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:-;category:affricate|plosive	pʰ	tʰ		kʰ	3/4	0.9999474427027878
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb	nd		ŋɡ	3/4	0.940364294321496
periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative | periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	f	s	ns		3/4	0.8727204067066637
	5/6	5/6	1/4	3/6
	0.5797103517301583	0.9235786335147727	0.03163586438152604	0.3285124569401761
