	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+			ɣ	1/3	0.1812762035657234
periodicGlottalSource:-	f	s̪|s		2/3	0.8643541588358992
	1/2	1/2	1/2
	0.6625210710769323	0.792652647756956	0.2955652519701484
