	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;anterior:0;dorsal:-;front:0;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:-,+;anterior:+;dorsal:-;front:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-;front:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:0 | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-;front:0;distributed:+ | labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:-;front:0;lateral:-;distributed:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;dorsal:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:+;front:+;distributed:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive	p	t̪|t	c	k	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive	b	d̪|d	ɟ	ɡ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	mb	n̪d̪|nd	ɲɟ	ŋɡ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:plosive	ɓ	ɗ̪|ɗ			2/4	0.8107646201300265
periodicGlottalSource:+;category:fricative				ɣ	1/4	0.16664563001525212
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	s̪|s			2/4	0.8583857339337417
	5/6	5/6	3/6	4/6
	0.9237187191978905	0.8961501813693639	0.771262475348567	0.8675933751948628
