	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;strident:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	β	ʒ	ɣ	3/3	1.0
periodicGlottalSource:-		s		1/3	0.6728977075191042
	1/2	2/2	1/2
	0.33747892892306774	1.0	0.2955652519701484
