	labial:+;labiodental:-;coronal:-;high:0;low:0;front:0;back:0 | labial:+;labiodental:+;coronal:-;high:0;low:0;front:0;back:0	labial:-;labiodental:0;coronal:+;high:0;low:0;front:0;back:0	count	markedness_count
periodicGlottalSource:+	β	z	2/2	1.0
periodicGlottalSource:-	f	s	2/2	1.0
	2/2	2/2
	1.0	1.0
