	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;lateral:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+ | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-,+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:+;category:plosive	b̰	d̰	d̠̰		3/4	0.5768246307894188
periodicGlottalSource:-;constrictedGlottis:-;category:plosive | periodicGlottalSource:+;constrictedGlottis:-;spreadGlottis:-;loweredLarynxImplosive:+;category:plosive | periodicGlottalSource:+,-;constrictedGlottis:-;sonorant:+,-;nasal:+,-;category:plosive	p	t	t̠	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			ʃ		1/4	0.48886947977485784
	2/3	2/3	3/3	1/3
	0.7654771576258673	0.8590186339344321	1.0	0.7895056248064544
