	labiodental:0;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+	-	sʰ			1/3	0.9169373034784328
periodicGlottalSource:+;spreadGlottis:-		z		ɣ	2/4	0.7340424861837735
periodicGlottalSource:-;spreadGlottis:-	θ	s	ʃ	x	4/4	1.0
	1/2	3/3	1/3	2/3
	0.7308193874390416	1.0	0.7843246308145608	0.9988263752782579
