	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:-,+;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0 | labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:-;anterior:+;distributed:-,+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:+;distributed:0;dorsal:-;front:0 | labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0;lateral:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+ | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:-,+;anterior:-;distributed:+;dorsal:-;front:0 | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;high:0;low:0;back:0	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+;category:plosive	ɓ	-	ɗ			2/4	0.8036323216451039
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	p	-	t	k	c	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive | periodicGlottalSource:+,-;spreadGlottis:-,+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	pʰ	-	tʰ	kʰ	cʰ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;category:fricative		sʰ	-			1/4	0.868765618181311
periodicGlottalSource:+;spreadGlottis:-;category:fricative		z		ɣ		2/5	0.4350439684918661
periodicGlottalSource:-;spreadGlottis:-;category:fricative | periodicGlottalSource:+,-;spreadGlottis:-;sonorant:+,-;nasal:+,-;category:fricative		s	θ	x	ʃ	4/5	0.8415599748600773
	3/6	3/3	4/5	4/6	3/6
	0.7018145055328815	1.0	0.9729713229628305	0.9939515393142333	0.8043515137307293
