	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	p	t	k	3/3	1.0
constrictedGlottis:+;raisedLarynxEjective:+	pʼ	tʼ	kʼ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
