	labial:+;labiodental:+;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0;round:-	labial:+;labiodental:+,-;coronal:-;anterior:0;distributed:0;high:0;low:0;front:0;back:0;round:-,+	labial:-;labiodental:0;coronal:+;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labial:-;labiodental:0;coronal:+;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+			z	ʒ	2/4	0.7938407688365209
periodicGlottalSource:-	f	fʷ	s	ʃ	4/4	1.0
	1/2	1/2	2/2	2/2
	0.7610533045600901	0.9721589332776838	1.0	1.0
