	labial:+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:- | labial:+;labiodental:+;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:-;high:0;low:0;back:0;round:-;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:+;lateral:-;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:0;retractedTongueRoot:-	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;back:-;round:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;back:+;round:0;retractedTongueRoot:+	labial:-,+;labiodental:-;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;back:+;round:+;retractedTongueRoot:-	labial:-;labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;back:+;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:- | labial:-;labiodental:0;coronal:+;lateral:-;strident:+;anterior:-;distributed:+;dorsal:-;high:0;low:0;back:0;round:0;retractedTongueRoot:-;front:0	count	markedness_count
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;category:affricate|plosive	b		d	ɡ	ɡʷ				4/8	0.8395815632727298
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	-	ɗ		-	-	-	-	2/3	0.8038043837605665
periodicGlottalSource:+;category:fricative						ʕ			1/8	0.011930452042788465
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;category:affricate|plosive	p		t	k	kʷ	-	qʷ	q	6/7	0.9942163657960981
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f	ɬ	s	x	xʷ	ħ		ʃ	7/8	0.9860143256923689
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+;loweredLarynxImplosive:-;category:affricate | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;loweredLarynxImplosive:-;category:plosive | periodicGlottalSource:-;constrictedGlottis:-,+;raisedLarynxEjective:-,+;loweredLarynxImplosive:-;category:affricate		tɬʼ	tsʼ			-			2/7	0.30276517562441757
	4/6	2/5	5/6	3/6	3/5	2/3	1/5	2/5
	0.8672500247039706	0.7211505096119943	0.9421692065528212	0.8629201425546786	0.8308295747811416	0.9865300961803996	0.295614491163785	0.6638040137899333
