	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
periodicGlottalSource:+	dz	d̠ʒ	2/2	1.0
periodicGlottalSource:-	ts		1/2	0.508160165671145
	2/2	1/2
	1.0	0.24252849420848008
