	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-;category:affricate|plosive	b	d	dz	d̠ʒ	ɡ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	ɗ	-	-		2/3	0.8038629283657579
periodicGlottalSource:+;category:fricative	v					1/5	0.27338423696899294
periodicGlottalSource:-;loweredLarynxImplosive:-;category:affricate|plosive	p		ts		k	3/5	0.6137609872897251
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f			ʃ		2/5	0.34084559419251476
	5/5	2/5	2/4	2/4	2/5
	1.0	0.26331230232242675	0.39450583230930036	0.4337554193325916	0.813686642648233
