	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	v		ʒ		2/4	0.4067529853116302
periodicGlottalSource:-	f	s	ʃ	x	4/4	1.0
	2/2	1/2	2/2	1/2
	1.0	0.7931118804251478	1.0	0.7044347480298516
