	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+	count	markedness_count
periodicGlottalSource:+	v	z		2/3	0.9581521040737048
periodicGlottalSource:-	f	s	ç	3/3	1.0
	2/2	2/2	1/2
	1.0	1.0	0.7390282739435193
