	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:+;dorsal:-	labial:-;coronal:+;distributed:-;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+		t̪ʼ	tʼ	kʼ	3/4	0.766230675231749
periodicGlottalSource:+;constrictedGlottis:-;raisedLarynxEjective:-			d		1/4	0.2602411548477723
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t̪	t	k	4/4	1.0
	1/3	2/3	3/3	2/3
	0.5782309378108538	0.667472068024331	1.0	0.7188092420919051
