	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;constrictedGlottis:+;raisedLarynxEjective:+	pʼ	t̪ʼ|tʼ	kʼ	3/3	1.0
periodicGlottalSource:+;constrictedGlottis:+;raisedLarynxEjective:-	b̰			1/3	0.4082327755174274
periodicGlottalSource:-;constrictedGlottis:-;raisedLarynxEjective:-	p	t̪|t	k	3/3	1.0
	3/3	2/3	2/3
	1.0	0.997461921484235	0.9876161636636953
