	labiodental:0;anterior:+;distributed:-;high:0;low:0;front:0;back:0;round:0	labiodental:0;anterior:-;distributed:+;high:0;low:0;front:0;back:0;round:0	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	ts	t̠ʃ	2/2	1.0
constrictedGlottis:+;raisedLarynxEjective:+	tsʼ		1/2	0.5532861161723855
	2/2	1/2
	1.0	0.8355953239763696
