	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	p	t		2/3	0.620214729897276
periodicGlottalSource:+;sonorant:-;nasal:-	b	d	ɡ	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	nd	ŋɡ	3/3	1.0
	3/3	3/3	2/3
	1.0	1.0	0.29052231525944705
