	labial:+;coronal:-;strident:0;dorsal:- | labial:+;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;coronal:-;strident:0;dorsal:-,-,+;front:-;round:-	labial:-;coronal:+;strident:-;dorsal:- | labial:-;coronal:+;strident:+;dorsal:- | labial:-;coronal:+;strident:-,+;dorsal:- | labial:-;coronal:+;strident:+;dorsal:-;distributed:- | labial:-;coronal:+;strident:+;dorsal:-;distributed:+ | labial:-;coronal:+;strident:+;dorsal:-;anterior:+;distributed:+	labial:-;coronal:-;strident:0;dorsal:+ | labial:-;coronal:+;strident:+;dorsal:+;anterior:+;distributed:+;front:+ | labial:-;coronal:+;strident:-;dorsal:+;anterior:-;distributed:+;front:+ | labial:-;coronal:+;strident:+;dorsal:-,+;anterior:-;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:plosive	p	t		2/3	0.620214729897276
periodicGlottalSource:+;sonorant:-;nasal:-;category:plosive	b	d	ɡ	3/3	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:plosive	mb	nd	ŋɡ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		s		1/3	0.7522602733581376
	3/4	4/4	2/4
	0.8403695766752823	1.0	0.25136952658311856
