	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	b	d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:-	p	t	kp		3/4	0.6228671820061877
	2/2	2/2	2/2	1/2
	1.0	1.0	1.0	0.2868909864151219
