	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+		d	ɡ		2/4	0.6675627826839725
periodicGlottalSource:-	p	t	k	q	4/4	1.0
	1/2	2/2	2/2	1/2
	0.646939388226512	1.0	1.0	0.8714529730370428
