	labiodental:0;coronal:+;dorsal:-;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;dorsal:+;round:0;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+		ʕ	1/2	0.025250806433874173
periodicGlottalSource:-	s		1/2	0.982061492334705
	1/2	1/2
	0.7876094648751162	0.2766393025149453
