	labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0;round:0	labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0;round:0	labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+;round:0	labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-;round:0	count	markedness_count
periodicGlottalSource:+	z	ʒ	ʝ	ɣ	4/4	1.0
periodicGlottalSource:-	s	ʃ	ç	x	4/4	1.0
	2/2	2/2	2/2	2/2
	1.0	1.0	1.0	1.0
