	labial:+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-,+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:-;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:+;round:+ | labial:-,-,+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	p		ts	t	k	kʷ	5/6	0.9999899442694191
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:affricate|plosive	b	-	dz	d	ɡ	ɡʷ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:affricate|plosive	ɓ	-	-	ɗ		-	2/3	0.8038507485523523
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	f	-	s	θ	x	xʷ	5/5	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb		ndz	nd	ŋɡ	ŋɡʷ	5/6	0.9999426947795639
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative | periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	v	nz	z	ð	ɣ	ɣʷ	6/6	1.0
	6/6	1/3	5/5	6/6	5/6	5/5
	1.0	0.9565643801307372	1.0	1.0	0.9904503268186022	1.0
