	labial:+;labiodental:+;coronal:-;strident:0;distributed:0;dorsal:-;round:-	labial:-;labiodental:0;coronal:+;strident:-;distributed:+;dorsal:-;round:0	labial:-;labiodental:0;coronal:+;strident:+;distributed:-;dorsal:-;round:0 | labial:-;labiodental:0;coronal:+;strident:-,+;distributed:-;dorsal:-;round:0	labial:-;labiodental:0;coronal:-;strident:0;distributed:0;dorsal:+;round:0	labial:-,+;labiodental:-;coronal:-;strident:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	θ	s	x	xʷ	5/5	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	v	ð	z	ɣ	ɣʷ	5/5	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-			nz			1/5	0.40166047973511554
	2/3	2/3	3/3	2/3	2/3
	0.994934002096312	0.999179973902887	1.0	0.9996021817901081	0.9998054613962736
