	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;loweredLarynxImplosive:-	b	d	ɟ	ɡ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+	ɓ	ɗ	ʄ	ɠ	4/4	1.0
periodicGlottalSource:-;loweredLarynxImplosive:-		t	c	k	3/4	0.7329005414445918
	2/3	3/3	3/3	3/3
	0.35344634695024135	1.0	1.0	1.0
