	labiodental:0;coronal:+;dorsal:-;round:0	labiodental:0;coronal:-;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+	z		1/2	0.6690261924653413
periodicGlottalSource:-	s	x	2/2	1.0
	2/2	1/2
	1.0	0.7047720672108528
