	t̪	-	-	k	kʷ	3/4	0.6755553305603341
b	d̪	-	-	ɡ	ɡʷ	4/4	1.0
mb	n̪d̪	ɳɡ	ɳɡʷ			4/6	0.5440403503270853
2/3	3/3	1/1	1/1	2/3	2/3
0.3564673241556326	1.0	1.0	1.0	0.9776461952673208	0.9854692982443551
