	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;round:-	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;round:0	labial:-;coronal:+,-;anterior:-;distributed:-;dorsal:-,+;round:0	labial:-,-,+;coronal:+,-;anterior:-;distributed:-;dorsal:-,+;round:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	labial:-,+;coronal:-;anterior:0;distributed:0;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-		t̪	-	-	k	kʷ	3/4	0.6755553305603341
periodicGlottalSource:+;sonorant:-;nasal:-	b	d̪	-	-	ɡ	ɡʷ	4/4	1.0
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	mb	n̪d̪	ɳɡ	ɳɡʷ			4/6	0.5440403503270853
	2/3	3/3	1/1	1/1	2/3	2/3
	0.3564673241556326	1.0	1.0	1.0	0.9776461952673208	0.9854692982443551
