	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+		z	ʐ	ʑ	ɣ	4/5	0.7280334732346653
periodicGlottalSource:-	f	s	ʂ	ɕ		4/5	0.8206900381990077
	1/2	2/2	2/2	2/2	1/2
	0.6625210710769323	1.0	1.0	1.0	0.2974190608674369
