	labial:+;coronal:-;dorsal:-;high:0;back:0	labial:-;coronal:+;dorsal:-;high:0;back:0	labial:-;coronal:-;dorsal:+;high:+;back:-	labial:-;coronal:-;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɡ	ɢ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-	p	t	k	q	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ	kʰ	qʰ	4/4	1.0
	3/3	3/3	3/3	3/3
	1.0	1.0	1.0	1.0
