	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;back:-	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;back:+	count	markedness_count
periodicGlottalSource:+	v	z	ʒ	ɣ	ʁ	5/5	1.0
periodicGlottalSource:-	f	s	ʃ		χ	4/5	0.8674206120944103
	2/2	2/2	2/2	1/2	2/2
	1.0	1.0	1.0	0.2895997076440047	1.0
