	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;high:0;front:0;back:0;round:0	labiodental:0;coronal:+;anterior:+;distributed:+;dorsal:+;high:+;front:+;back:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;front:-;back:-;round:0	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;front:-;back:+;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:+	sʰ	ʂʰ	ɕʰ	xʰ	-	4/4	1.0
periodicGlottalSource:+;spreadGlottis:-	z		ʑ	ɣ	ʁ	4/5	0.9259924736453528
periodicGlottalSource:-;spreadGlottis:-	s	ʂ	ɕ	x		4/5	0.921623540610627
	3/3	2/3	3/3	3/3	1/2
	1.0	0.7695171220302162	1.0	1.0	0.3041316844647587
