	labiodental:0;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:+;anterior:-;distributed:-;dorsal:-;round:0	labiodental:0;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;round:0 | labiodental:0;strident:-,-,+;anterior:+;distributed:-,-,+;dorsal:-,-,+;round:0	count	markedness_count
periodicGlottalSource:-;spreadGlottis:-;sonorant:-;nasal:-	ts	ʈʂ	tɕ	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:-;nasal:-	dz	ɖʐ	dʑ	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+;sonorant:-;nasal:- | periodicGlottalSource:-;spreadGlottis:-,+;sonorant:-;nasal:-	tsʰ	ʈʂʰ	tɕʰ	3/3	1.0
periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-;nasal:+,- | periodicGlottalSource:+;spreadGlottis:-;sonorant:+,-,-;nasal:+,-,-	ndz	ɳɖʐ	ndʑ	3/3	1.0
	4/4	4/4	4/4
	1.0	1.0	1.0
