	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0 | labial:+;labiodental:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-;front:0	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+;front:+	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+;category:affricate|plosive	b	d	dz	d̠ʒ	ɡb	ɟ	ɡ	7/7	1.0
periodicGlottalSource:+;category:fricative	v				-			1/6	0.2743483473711786
periodicGlottalSource:-;category:affricate|plosive	p	t	ts	t̠ʃ	kp	c	k	7/7	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative	f		s	ʃ	-			3/6	0.7020918852295058
	4/4	2/4	3/4	3/4	2/2	2/4	2/4
	1.0	0.9036894656578184	0.8739150334340746	0.9236936179361749	1.0	0.8371047217913103	0.8208175339725856
