variable,trait,model_no,statistic,value
V,plosive,1,median,0.165981725
V,plosive,1,hdi_95_lower,0.13024593081493938
V,plosive,1,hdi_95_upper,0.2063002123339363
mu,plosive,1,median,0.68881568
mu,plosive,1,hdi_95_lower,0.5939995065605495
mu,plosive,1,hdi_95_upper,0.7884340898384454
t_half,plosive,1,median,13.3187785
t_half,plosive,1,hdi_95_lower,8.529695980825048
t_half,plosive,1,hdi_95_upper,18.537259988491744
tau,plosive,1,median,0.1733721
tau,plosive,1,hdi_95_lower,0.1546479700633007
tau,plosive,1,hdi_95_upper,0.1930419603620545
looic,plosive,1,Estimate,2035.315750471099
looic,plosive,1,SE,69.61209579094697
V,plosive,2,median,0.16407893
V,plosive,2,hdi_95_lower,0.12773520915337858
V,plosive,2,hdi_95_upper,0.20446392978609565
mu,plosive,2,median,0.69755739
mu,plosive,2,hdi_95_lower,0.6065501376045835
mu,plosive,2,hdi_95_upper,0.7987250486384695
t_half,plosive,2,median,13.990139
t_half,plosive,2,hdi_95_lower,9.357496954814275
t_half,plosive,2,hdi_95_upper,19.566518072550807
tau,plosive,2,median,0.178955405
tau,plosive,2,hdi_95_lower,0.16010552042341716
tau,plosive,2,hdi_95_upper,0.19681125061298274
looic,plosive,2,Estimate,2062.230341416317
looic,plosive,2,SE,70.05088253797514
V,plosive,3,median,0.165618465
V,plosive,3,hdi_95_lower,0.12896432137093172
V,plosive,3,hdi_95_upper,0.20387183250746335
mu,plosive,3,median,0.68893328
mu,plosive,3,hdi_95_lower,0.5956900882458013
mu,plosive,3,hdi_95_upper,0.7862952289693229
t_half,plosive,3,median,12.989339999999999
t_half,plosive,3,hdi_95_lower,8.257335300909485
t_half,plosive,3,hdi_95_upper,18.464707002823616
tau,plosive,3,median,0.17191357000000002
tau,plosive,3,hdi_95_lower,0.15052346031258834
tau,plosive,3,hdi_95_upper,0.19258094049034513
looic,plosive,3,Estimate,2033.8063561901947
looic,plosive,3,SE,70.56165129967017
V,plosive,4,median,0.16602259
V,plosive,4,hdi_95_lower,0.1307140282481762
V,plosive,4,hdi_95_upper,0.20569302847236426
mu,plosive,4,median,0.68963615
mu,plosive,4,hdi_95_lower,0.5931514100104589
mu,plosive,4,hdi_95_upper,0.7892161507449057
t_half,plosive,4,median,13.183577499999998
t_half,plosive,4,hdi_95_lower,8.64941522976469
t_half,plosive,4,hdi_95_upper,18.604387973529317
tau,plosive,4,median,0.172222645
tau,plosive,4,hdi_95_lower,0.15350604895775663
tau,plosive,4,hdi_95_upper,0.19156381978537682
looic,plosive,4,Estimate,2039.412219761636
looic,plosive,4,SE,70.42912209729326
V,plosive,5,median,0.165201705
V,plosive,5,hdi_95_lower,0.13165406984172517
V,plosive,5,hdi_95_upper,0.20788751997997146
mu,plosive,5,median,0.689712225
mu,plosive,5,hdi_95_lower,0.5994551875779106
mu,plosive,5,hdi_95_upper,0.7934040778877489
t_half,plosive,5,median,13.164885
t_half,plosive,5,hdi_95_lower,8.410201482796268
t_half,plosive,5,hdi_95_upper,18.70695699182782
tau,plosive,5,median,0.17257138500000002
tau,plosive,5,hdi_95_lower,0.15215425957157058
tau,plosive,5,hdi_95_upper,0.19265047978502728
looic,plosive,5,Estimate,2037.3444002088904
looic,plosive,5,SE,70.18521634539057
V,plosive,6,median,0.17671493500000002
V,plosive,6,hdi_95_lower,0.13483448002220083
V,plosive,6,hdi_95_upper,0.22515102006886284
mu,plosive,6,median,0.706063925
mu,plosive,6,hdi_95_lower,0.6028806895324981
mu,plosive,6,hdi_95_upper,0.8186252996932067
t_half,plosive,6,median,15.2304755
t_half,plosive,6,hdi_95_lower,9.738699209527857
t_half,plosive,6,hdi_95_upper,22.604388033111288
tau,plosive,6,median,0.17620728000000002
tau,plosive,6,hdi_95_lower,0.15689447941460777
tau,plosive,6,hdi_95_upper,0.19516096999503785
looic,plosive,6,Estimate,2049.9932628237875
looic,plosive,6,SE,70.7560518017861
V,plosive,7,median,0.6796301849999999
V,plosive,7,hdi_95_lower,0.544391330168697
V,plosive,7,hdi_95_upper,0.8444585406972995
mu,plosive,7,median,2.1225144
mu,plosive,7,hdi_95_lower,1.9472145991371645
mu,plosive,7,hdi_95_upper,2.298761599667429
t_half,plosive,7,median,10.3944395
t_half,plosive,7,hdi_95_lower,6.813615303983569
t_half,plosive,7,hdi_95_upper,15.25042800679025
tau,plosive,7,median,0.37773429000000003
tau,plosive,7,hdi_95_lower,0.3351835285464051
tau,plosive,7,hdi_95_upper,0.4223968886710657
looic,plosive,7,Estimate,2351.01738917196
looic,plosive,7,SE,76.03341494826455
V,plosive,8,median,0.67695342
V,plosive,8,hdi_95_lower,0.5348199665425671
V,plosive,8,hdi_95_upper,0.8447041969559254
mu,plosive,8,median,2.12639625
mu,plosive,8,hdi_95_lower,1.9598780972707577
mu,plosive,8,hdi_95_upper,2.3159845983585816
t_half,plosive,8,median,10.980316
t_half,plosive,8,hdi_95_lower,7.305355981691327
t_half,plosive,8,hdi_95_upper,15.783953998829386
tau,plosive,8,median,0.388501215
tau,plosive,8,hdi_95_lower,0.3478105301211404
tau,plosive,8,hdi_95_upper,0.42879240100269217
looic,plosive,8,Estimate,2368.696917440234
looic,plosive,8,SE,76.1756450276087
V,plosive,9,median,0.679682405
V,plosive,9,hdi_95_lower,0.5453442301158454
V,plosive,9,hdi_95_upper,0.8437142501776441
mu,plosive,9,median,2.127568
mu,plosive,9,hdi_95_lower,1.9549313950427236
mu,plosive,9,hdi_95_upper,2.2984577964356774
t_half,plosive,9,median,10.4209175
t_half,plosive,9,hdi_95_lower,7.066559304114682
t_half,plosive,9,hdi_95_upper,15.356429027894144
tau,plosive,9,median,0.37820285
tau,plosive,9,hdi_95_lower,0.334229991008674
tau,plosive,9,hdi_95_upper,0.41834367105360637
looic,plosive,9,Estimate,2343.279397093725
looic,plosive,9,SE,74.95796428091442
V,plosive,10,median,0.676788995
V,plosive,10,hdi_95_lower,0.5415222792596147
V,plosive,10,hdi_95_upper,0.8377125694031557
mu,plosive,10,median,2.11456455
mu,plosive,10,hdi_95_lower,1.9552394978851624
mu,plosive,10,hdi_95_upper,2.2952812991209934
t_half,plosive,10,median,9.84485335
t_half,plosive,10,hdi_95_lower,6.562691200016994
t_half,plosive,10,hdi_95_upper,14.544701014678056
tau,plosive,10,median,0.36865764
tau,plosive,10,hdi_95_lower,0.3228926700680678
tau,plosive,10,hdi_95_upper,0.4123254101834838
looic,plosive,10,Estimate,2327.217491637979
looic,plosive,10,SE,75.27388161569631
V,plosive,11,median,0.67855713
V,plosive,11,hdi_95_lower,0.5376452358780829
V,plosive,11,hdi_95_upper,0.8399298075537899
mu,plosive,11,median,2.119092
mu,plosive,11,hdi_95_lower,1.9601023008982927
mu,plosive,11,hdi_95_upper,2.3093515040453165
t_half,plosive,11,median,10.222296
t_half,plosive,11,hdi_95_lower,6.688200488377673
