	labial:+;coronal:-;dorsal:-;round:-	labial:-;coronal:+;dorsal:-;round:0	labial:-;coronal:-;dorsal:+;round:0	labial:-,+;coronal:-;dorsal:+;round:+	count	markedness_count
periodicGlottalSource:+	b	d			2/4	0.6457479955478578
periodicGlottalSource:-		t	k	kʷ	3/4	0.7529108862245539
	1/2	2/2	1/2	1/2
	0.3520981260077749	1.0	0.7131090135848781	0.8209037735575385
