	labial:+;coronal:-;distributed:0;dorsal:-	labial:-;coronal:+;distributed:0;dorsal:-	labial:-;coronal:-;distributed:0;dorsal:+	count	markedness_count
spreadGlottis:-;constrictedGlottis:-	p	t̪|t	k	3/3	1.0
spreadGlottis:+;constrictedGlottis:-	pʰ	t̪ʰ|tʰ	kʰ	3/3	1.0
spreadGlottis:-;constrictedGlottis:+	pˀ	t̪ˀ|tˀ	kˀ	3/3	1.0
	3/3	3/3	3/3
	1.0	1.0	1.0
