	labial:+;coronal:-;anterior:0;dorsal:-	labial:-;coronal:+;anterior:+;dorsal:-	labial:-;coronal:+;anterior:-;dorsal:-	labial:-;coronal:-;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-	b	d	ɖ	ɡ	4/4	1.0
periodicGlottalSource:-;spreadGlottis:-			ʈ		1/4	0.056110014293521325
periodicGlottalSource:-;spreadGlottis:+	pʰ	tʰ		kʰ	3/4	0.9711349045847026
	2/3	2/3	2/3	2/3
	0.4556547232547866	0.4159891464884581	0.9270705464303526	0.4026270086753668
