	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:+;coronal:-;dorsal:+	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+	b		ɡb	ɡ	3/4	0.6584412160784309
periodicGlottalSource:-	p	t	kp	k	4/4	1.0
	2/2	1/2	2/2	2/2
	1.0	0.6982137273139257	1.0	1.0
