	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-;category:affricate|plosive	b	d			2/4	0.5577390606372806
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+;category:affricate|plosive	ɓ	ɗ	-		2/3	0.8036323216451039
periodicGlottalSource:+;category:fricative	β				1/4	0.27338423696899294
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-;category:affricate|plosive	p	t	t̠ʃ	k	4/4	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s		1/4	0.517245883185746
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-;category:affricate|plosive	pʰ	tʰ		kʰ	3/4	0.7978314076621039
	5/6	4/6	2/5	2/6
	0.8509215113591292	0.9025619798222628	0.717252865043003	0.5928806064228572
