	labiodental:0;coronal:+;lateral:+;strident:-;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;coronal:+;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;high:0;low:0;front:0;back:0;round:0;retractedTongueRoot:-	labiodental:0;coronal:+;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;high:+;low:-;front:+;back:-;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:+;low:-;front:-;back:-;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:-;front:-;back:+;round:0;retractedTongueRoot:-	labiodental:0;coronal:-;lateral:-;strident:0;anterior:0;distributed:0;dorsal:+;high:-;low:+;front:-;back:+;round:0;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+		z	ʝ		ʁ	ʕ	4/6	0.7803433149216293
periodicGlottalSource:-	ɬ	s	ç	x	χ	ħ	6/6	1.0
	1/2	2/2	2/2	1/2	2/2	2/2
	0.9048884957099266	1.0	1.0	0.6994419393290061	1.0	1.0
