	labiodental:0;lateral:-,+;strident:-;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;lateral:-;strident:+;anterior:+;distributed:-;dorsal:-;round:0	labiodental:0;lateral:-;strident:-;anterior:-;distributed:+;dorsal:+;round:0	count	markedness_count
constrictedGlottis:-;raisedLarynxEjective:-	tɬ	ts	cç	3/3	1.0
constrictedGlottis:+;raisedLarynxEjective:+ | constrictedGlottis:-,+;raisedLarynxEjective:-,+	tɬʼ	tsʼ	cçʼ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
