	labial:+;labiodental:-;coronal:-;strident:0;dorsal:- | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:-;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,+;front:-;round:- | labial:+;labiodental:+;coronal:-;strident:0;dorsal:-,-,+;front:-;round:- | labial:+;labiodental:+,-;coronal:-;strident:0;dorsal:-;round:-,+	labial:-;labiodental:0;coronal:+;strident:-;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:-,+;dorsal:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;distributed:- | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;distributed:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-;anterior:+;distributed:+	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:+;anterior:+;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:-;dorsal:+;anterior:-;distributed:+;front:+ | labial:-;labiodental:0;coronal:+;strident:+;dorsal:-,+;anterior:-;distributed:+;high:+;low:-;front:+;back:-	count	markedness_count
periodicGlottalSource:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive	p	t	kp	k	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:-;nasal:-;category:plosive	b	d	ɡb	ɡ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:-;sonorant:+,-;nasal:+,-;category:plosive	mb	nd	ŋmɡb	ŋɡ	4/4	1.0
periodicGlottalSource:+;loweredLarynxImplosive:+;sonorant:-;nasal:-;category:plosive	ɓ	ɗ	-		2/3	0.8108077539606614
periodicGlottalSource:-;sonorant:-;nasal:-;category:fricative	f	s	-		2/3	0.8726953073179188
periodicGlottalSource:+;sonorant:-;nasal:-;category:fricative	v	z	-		2/3	0.8288666701452663
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:fricative		nz	-		1/3	0.48871875681082
	6/7	7/7	3/3	3/7
	0.9992205501520934	1.0	1.0	0.8066353952845224
