	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;anterior:+;distributed:+;dorsal:-;front:0	labial:-;coronal:+;anterior:-;distributed:-;dorsal:-;front:0	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-,+;front:+	labial:-;coronal:+;anterior:+;distributed:+;dorsal:+;front:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;front:-	count	markedness_count
periodicGlottalSource:+	v	z̪	ʐ	vʲ	ʑ		5/6	0.7751186176298775
periodicGlottalSource:-	f	s̪	ʂ		ɕ	x	5/6	0.9980659488063642
	2/2	2/2	2/2	1/2	2/2	1/2
	1.0	1.0	1.0	0.5371499261682682	1.0	0.702580939132563
