	labiodental:0;strident:+;anterior:+;distributed:+;dorsal:-;round:0	labiodental:0;strident:+;anterior:-;distributed:-;dorsal:-;round:0	labiodental:0;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+	d̪z̪	ɖʐ	dʑ	3/3	1.0
periodicGlottalSource:-	t̪s̪	ʈʂ	tɕ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
