	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:- | labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	β	ð	ʒ	ɣ	4/4	1.0
periodicGlottalSource:-		s	ʃ		2/4	0.6012238230715712
	1/2	2/2	2/2	1/2
	0.33747892892306774	1.0	1.0	0.2955652519701484
