	labial:+;coronal:-;anterior:0;distributed:0;dorsal:-;high:0;back:0	labial:-;coronal:+;anterior:+;distributed:-;dorsal:-;high:0;back:0	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:-;back:+	labial:-;coronal:-;anterior:0;distributed:0;dorsal:+;high:+;back:- | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0 | labial:-;coronal:+;anterior:-;distributed:+;dorsal:-;high:0;back:0;strident:+;low:0;front:0	count	markedness_count
periodicGlottalSource:+	β		ʁ	ɣ	3/4	0.6879577269840516
periodicGlottalSource:-		s	χ	ʃ	3/4	0.8430546241134538
	1/2	1/2	2/2	2/2
	0.33745490270910106	0.7931118804251478	1.0	1.0
