	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-	labial:-;coronal:+;strident:-;anterior:-;distributed:+;dorsal:+	count	markedness_count
periodicGlottalSource:+			ʝ	1/3	0.041847895926295266
periodicGlottalSource:-	f	s		2/3	0.9607910790406894
	1/2	1/2	1/2
	0.6625210710769323	0.7894718686030313	0.2609717260564806
