	labial:+;coronal:-;dorsal:-;front:0	labial:-;coronal:+;dorsal:-;front:0	labial:-;coronal:+;dorsal:-,+;front:+	labial:-;coronal:-;dorsal:+;front:-	labial:-;coronal:-;dorsal:+;front:-,+	count	markedness_count
periodicGlottalSource:+				ɡ		1/5	0.25832326670954503
periodicGlottalSource:-	p	t	tʲ	k	kʲ	5/5	1.0
	1/2	1/2	1/2	2/2	1/2
	0.6469266840209866	0.6982137273139257	0.646099549244264	1.0	0.5585281024015436
