	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;fortis:+;category:affricate|plosive	p͈	t͈	-	k͈	3/3	1.0
periodicGlottalSource:+;fortis:-;category:affricate|plosive	b	d	d̠ʒ	ɡ	4/4	1.0
periodicGlottalSource:+;fortis:+;category:affricate|plosive	b͈	d͈	d̠͈ʒ	-	3/3	1.0
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative		ʂ͇	s		2/4	0.6162521038633145
periodicGlottalSource:-;fortis:-;category:affricate|plosive	p	t	t̠ʃ	k	4/4	1.0
	4/5	5/5	4/4	3/4
	0.8421922259973105	1.0	1.0	0.8704935942677532
