	labial:+;labiodental:-;coronal:-;strident:0;anterior:0;dorsal:-	labial:+;labiodental:+;coronal:-;strident:0;anterior:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;anterior:+;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:+;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;anterior:-;dorsal:-	labial:-;labiodental:0;coronal:-;strident:0;anterior:0;dorsal:+	count	markedness_count
periodicGlottalSource:+	β		ð				2/6	0.19914270437792939
periodicGlottalSource:-	ɸ	f	θ	s̪|s	ʃ	x	6/6	1.0
	2/2	1/2	2/2	1/2	1/2	1/2
	1.0	0.7609966566285796	1.0	0.8010111641619156	0.7772167028238594	0.7044347480298516
