	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:-;front:0	labial:-;coronal:+;strident:-;anterior:-;distributed:-;dorsal:-;front:0	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+;front:-	labial:-;coronal:+;strident:-,+;anterior:+;distributed:-,+;dorsal:-,+;front:+ | labial:-;coronal:+;strident:+;anterior:+;distributed:+;dorsal:+;front:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d	dz	ɖ	ɡ	dʑ	6/6	1.0
periodicGlottalSource:+;category:fricative			z			ʑ	2/6	0.42104604393548617
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t	ts	ʈ	k	tɕ	6/6	1.0
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative			s			ɕ	2/6	0.5315370127208552
periodicGlottalSource:-;spreadGlottis:+;category:plosive | periodicGlottalSource:-;spreadGlottis:+;category:affricate | periodicGlottalSource:-;spreadGlottis:-,+;category:plosive | periodicGlottalSource:-;spreadGlottis:-,+;category:affricate	pʰ	tʰ	tsʰ	ʈʰ	kʰ	tɕʰ	6/6	1.0
	3/5	3/5	5/5	3/5	3/5	5/5
	0.7751802075349559	0.890458081361146	1.0	0.9496237466911986	0.8328155162657761	1.0
