	labiodental:0;strident:+;distributed:-;dorsal:-;round:0	labiodental:0;strident:+;distributed:-;dorsal:-,+;round:0	labiodental:0;strident:-,+;distributed:-,+;dorsal:-,+;round:0	count	markedness_count
periodicGlottalSource:+	dz	dzʲ	dʑ	3/3	1.0
periodicGlottalSource:-	ts	tsʲ	tɕ	3/3	1.0
	2/2	2/2	2/2
	1.0	1.0	1.0
