	labial:+;labiodental:-;coronal:-;strident:0;dorsal:-	labial:+;labiodental:+;coronal:-;strident:0;dorsal:-	labial:-;labiodental:0;coronal:+;strident:-;dorsal:-	labial:-;labiodental:0;coronal:+;strident:+;dorsal:-	labial:+;labiodental:-;coronal:-;strident:0;dorsal:+	labial:-;labiodental:0;coronal:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-;category:affricate|plosive	p		t	ts	kp	k	5/6	0.9997065255064911
periodicGlottalSource:+;sonorant:-;nasal:-;category:affricate|plosive	b		d	dz	ɡb	ɡ	5/6	0.9996997662072097
periodicGlottalSource:+;category:fricative	β	v		z	-		3/5	0.6921112148810284
periodicGlottalSource:+;sonorant:+,-;nasal:+,-;category:affricate|plosive	mb		nd	ndz	ŋmɡb	ŋɡ	5/6	0.9998994853032922
periodicGlottalSource:-;category:fricative | periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-;category:fricative		f		s	-		2/5	0.6903446695774631
	4/5	2/5	3/5	5/5	3/3	3/5
	0.9615341041932499	0.9935153798124173	0.9279261681069216	1.0	1.0	0.8212314242144569
