	labial:+;coronal:-;strident:0;anterior:0;distributed:0;dorsal:-	labial:-;coronal:+;strident:-;anterior:+;distributed:+;dorsal:-	labial:-;coronal:+;strident:+;anterior:+;distributed:-;dorsal:- | labial:-;coronal:+;strident:+;anterior:-;distributed:+;dorsal:-	labial:-;coronal:-;strident:0;anterior:0;distributed:0;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;category:affricate|plosive	b	d̪	d̠ʒ	ɡ	4/4	1.0
periodicGlottalSource:+;spreadGlottis:+;category:affricate|plosive	b̤	d̪̤		ɡ̤	3/4	0.7967303085887665
periodicGlottalSource:-;spreadGlottis:-;constrictedGlottis:-;raisedLarynxEjective:-;loweredLarynxImplosive:-;sonorant:-;nasal:-;fortis:-;category:fricative			s		1/4	0.5393042172918294
periodicGlottalSource:-;spreadGlottis:-;category:affricate|plosive	p	t̪	t̠ʃ	k	4/4	1.0
periodicGlottalSource:-;spreadGlottis:+;category:affricate|plosive	pʰ	t̪ʰ	t̠ʃʰ	kʰ	4/4	1.0
	4/5	4/5	4/5	4/5
	0.8419662670981969	0.8771182303113407	0.9952105621074127	0.8701631738797381
