	labiodental:0;coronal:+;anterior:-;distributed:+;dorsal:-;round:0	labiodental:0;coronal:+;anterior:+;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;round:0 | labiodental:0;coronal:+;anterior:-;distributed:-;dorsal:-;round:0;strident:+	labiodental:0;coronal:-;anterior:0;distributed:0;dorsal:+;round:0	count	markedness_count
periodicGlottalSource:+		ʐ		1/3	0.4724826296146039
periodicGlottalSource:-	ʃ	s	x	3/3	1.0
	1/2	2/2	1/2
	0.7783204924998441	1.0	0.7044347480298516
