	labial:+;coronal:-;lateral:-;strident:0;dorsal:-	labial:-;coronal:+;lateral:+;strident:-;dorsal:-	labial:-;coronal:+;lateral:-;strident:+;dorsal:-	labial:-;coronal:-;lateral:-;strident:0;dorsal:+	count	markedness_count
periodicGlottalSource:-;sonorant:-;nasal:-	f	ɬ	s	x	4/4	1.0
periodicGlottalSource:+;sonorant:-;nasal:-	v		z	ɣ	3/4	0.9817111737760328
periodicGlottalSource:+;sonorant:+,-;nasal:+,-	ɱv			ŋɣ	2/4	0.5290919101800973
	3/3	1/3	2/3	3/3
	1.0	0.9025672551131614	0.9986597521268312	1.0
