f	ɬ	s	x	4/4	1.0
v		z	ɣ	3/4	0.9817111737760328
ɱv			ŋɣ	2/4	0.5290919101800973
3/3	1/3	2/3	3/3
1.0	0.9025672551131614	0.9986597521268312	1.0
