	labial:+;coronal:-;dorsal:-;retractedTongueRoot:-	labial:-;coronal:+;dorsal:-;retractedTongueRoot:-	labial:-;coronal:-;dorsal:+;retractedTongueRoot:+	count	markedness_count
periodicGlottalSource:+	v			1/3	0.33575888470543663
periodicGlottalSource:-		s	ħ	2/3	0.7872355837638702
	1/2	1/2	1/2
	0.33692856330716897	0.7876094648751162	0.7233606974850547
