	labial:+;coronal:-;dorsal:-	labial:-;coronal:+;dorsal:-	labial:-;coronal:-;dorsal:+	count	markedness_count
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:-			ɡ	1/3	0.35009219578805995
periodicGlottalSource:+;spreadGlottis:-;loweredLarynxImplosive:+	ɓ	ɗ		2/3	0.8105931977093616
periodicGlottalSource:-;spreadGlottis:-;loweredLarynxImplosive:-	p	t	k	3/3	1.0
periodicGlottalSource:-;spreadGlottis:+;loweredLarynxImplosive:-	pʰ	tʰ		2/3	0.5947885794701293
	3/4	3/4	2/4
	0.6839692423029584	0.7328230004648404	0.8659549914602375
